id,Churn,genero,idoso,possui_parceiro,possui_dependentes,tempo_contrato,servico_telefone,multiplas_linhas,tipo_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,valor_mensal,total_cobrado,contas_diarias
0019-EFAEP,não,Feminino,0,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Não,Bienal,Sim,Transferência bancária (automática),101.3,7261.25,3.3766666666666665
0019-GFNTW,não,Feminino,0,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária (automática),45.05,2560.1,1.5016666666666665
0020-INWCK,não,Feminino,0,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Sim,Bienal,Sim,Cartão de crédito (automático),95.75,6849.4,3.191666666666667
0020-JDNXP,não,Feminino,0,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,61.25,1993.2,2.0416666666666665
0021-IKXGC,não,Feminino,1,Não,Não,1,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,72.1,72.1,2.4033333333333333
0022-TCJCI,sim,Masculino,1,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito (automático),62.7,2791.5,2.0900000000000003
0023-HGHWL,sim,Masculino,1,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,25.1,25.1,0.8366666666666667
0023-UYUPN,não,Feminino,1,Sim,Não,50,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque eletrônico,25.2,1306.3,0.84
0023-XUOPT,sim,Feminino,0,Sim,Não,13,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque eletrônico,94.1,1215.6,3.1366666666666663
0027-KWYKW,não,Feminino,0,Sim,Sim,23,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,83.75,1849.95,2.7916666666666665
0030-FNXPP,não,Feminino,0,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.85,57.2,0.6616666666666667
0031-PVLZI,sim,Feminino,0,Sim,Sim,4,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,20.35,76.35,0.6783333333333333
0032-PGELS,sim,Feminino,0,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária (automática),30.5,30.5,1.0166666666666666
0036-IHMOT,não,Feminino,0,Sim,Sim,55,Sim,Não,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),103.7,5656.75,3.4566666666666666
0040-HALCW,não,Masculino,0,Sim,Sim,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito (automático),20.4,1090.6,0.6799999999999999
0042-JVWOJ,não,Masculino,0,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária (automática),19.6,471.85,0.6533333333333334
0042-RLHYP,não,Feminino,0,Sim,Sim,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Transferência bancária (automática),19.7,1396.9,0.6566666666666666
0048-LUMLS,não,Masculino,0,Sim,Sim,37,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito (automático),91.2,3247.55,3.04
0048-PIHNL,não,Feminino,0,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Transferência bancária (automática),20.45,900.9,0.6816666666666666
0052-DCKON,não,Masculino,0,Sim,Não,66,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automática),115.8,7942.15,3.86
0052-YNYOT,não,Feminino,0,Não,Não,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque eletrônico,20.55,1343.4,0.685
0056-EPFBG,não,Masculino,0,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),39.4,825.4,1.3133333333333332
0057-QBUQH,não,Feminino,0,Não,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Cheque eletrônico,25.1,1070.15,0.8366666666666667
0058-EVZWM,não,Feminino,0,Sim,Não,55,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),89.8,4959.6,2.993333333333333
0060-FUALY,não,Feminino,0,Sim,Não,59,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,94.75,5597.65,3.158333333333333
0064-SUDOG,não,Feminino,0,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Transferência bancária (automática),20.3,224.5,0.6766666666666666
0064-YIJGF,não,Masculino,0,Sim,Sim,27,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),75.75,1929.0,2.525
0067-DKWBL,sim,Masculino,1,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,49.25,91.1,1.6416666666666666
0068-FIGTF,não,Feminino,0,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,78.2,2078.95,2.606666666666667
0071-NDAFP,não,Masculino,0,Sim,Sim,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito (automático),25.5,630.6,0.85
0074-HDKDG,não,Masculino,0,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,Transferência bancária (automática),61.6,1611.0,2.0533333333333332
0076-LVEPS,não,Masculino,0,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque enviado,45.0,1242.45,1.5
0078-XZMHT,não,Masculino,0,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automática),85.15,6316.2,2.8383333333333334
0080-EMYVY,não,Feminino,0,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cartão de crédito (automático),51.45,727.85,1.715
0080-OROZO,não,Feminino,0,Não,Não,35,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,99.25,3532.0,3.308333333333333
0082-LDZUE,não,Masculino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,44.3,44.3,1.4766666666666666
0082-OQIQY,não,Masculino,0,Não,Não,29,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.2,2607.6,3.14
0083-PIVIK,não,Masculino,0,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Não,Cheque eletrônico,81.25,5567.55,2.7083333333333335
0089-IIQKO,não,Feminino,0,Sim,Sim,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),99.95,3767.4,3.3316666666666666
0093-EXYQL,não,Feminino,1,Não,Não,40,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,91.55,3673.6,3.0516666666666667
0093-XWZFY,sim,Masculino,0,Não,Não,40,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),104.5,4036.85,3.4833333333333334
0094-OIFMO,sim,Feminino,1,Não,Não,11,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.0,1120.3,3.1666666666666665
0096-BXERS,não,Feminino,0,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,50.35,314.55,1.6783333333333335
0096-FCPUF,não,Masculino,0,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque enviado,64.5,1888.45,2.15
0098-BOWSO,não,Masculino,0,Não,Não,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,19.4,529.8,0.6466666666666666
0100-DUVFC,não,Masculino,1,Sim,Não,70,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,104.8,7308.95,3.493333333333333
0103-CSITQ,não,Feminino,0,Sim,Não,57,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),109.4,6252.7,3.646666666666667
0104-PPXDV,não,Masculino,0,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cartão de crédito (automático),50.3,2878.55,1.6766666666666665
0106-GHRQR,não,Masculino,0,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transferência bancária (automática),71.4,1212.1,2.3800000000000003
0106-UGRDO,não,Feminino,0,Sim,Não,69,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,116.0,8182.85,3.8666666666666667
0107-WESLM,sim,Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,19.85,19.85,0.6616666666666667
0107-YHINA,sim,Masculino,0,Não,Sim,1,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.75,99.75,3.325
0111-KLBQG,não,Masculino,1,Sim,Sim,32,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque enviado,93.95,2861.45,3.131666666666667
0112-QAWRZ,não,Masculino,0,Sim,Sim,16,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),90.8,1442.2,3.0266666666666664
0112-QWPNC,sim,Masculino,0,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,84.35,4059.35,2.8116666666666665
0114-IGABW,não,Feminino,0,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automática),58.25,4145.9,1.9416666666666667
0114-PEGZZ,não,Feminino,0,Não,Não,33,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,107.55,3645.5,3.585
0114-RSRRW,não,Feminino,0,Sim,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Transferência bancária (automática),19.95,187.75,0.6649999999999999
0115-TFERT,sim,Masculino,0,Sim,Não,21,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,111.2,2317.1,3.7066666666666666
0117-LFRMW,sim,Masculino,0,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência bancária (automática),40.2,1448.8,1.34
0118-JPNOY,não,Feminino,1,Não,Não,26,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito (automático),85.8,2193.65,2.86
0121-SNYRK,não,Masculino,0,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Sim,Cheque enviado,35.4,1748.9,1.18
0122-OAHPZ,sim,Feminino,0,Não,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.85,511.25,2.4616666666666664
0123-CRBRT,não,Feminino,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque enviado,88.1,5526.75,2.9366666666666665
0125-LZQXK,sim,Masculino,0,Não,Não,15,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.35,1553.95,3.378333333333333
0128-MKWSG,não,Feminino,0,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque enviado,45.8,1147.0,1.5266666666666666
0129-KPTWJ,não,Masculino,0,Sim,Não,72,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.65,6747.35,3.1550000000000002
0129-QMPDR,não,Masculino,0,Sim,Sim,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária (automática),20.5,865.05,0.6833333333333333
0130-SXOUN,não,Masculino,0,Não,Não,66,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de crédito (automático),89.4,5976.9,2.98
0133-BMFZO,sim,Feminino,0,Não,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,86.25,181.65,2.875
0134-XWXCE,não,Feminino,1,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automática),74.85,3268.05,2.4949999999999997
0135-NMXAP,sim,Feminino,0,Não,Não,12,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),89.75,1052.4,2.9916666666666667
0136-IFMYD,não,Masculino,1,Sim,Não,69,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,109.95,7634.25,3.665
0137-OCGAB,sim,Feminino,0,Não,Não,1,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,80.2,80.2,2.6733333333333333
0137-UDEUO,sim,Feminino,0,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.85,63.75,0.6616666666666667
0139-IVFJG,não,Feminino,0,Sim,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,90.35,190.5,3.0116666666666663
0141-YEAYS,não,Feminino,1,Não,Não,27,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),86.45,2401.05,2.881666666666667
0142-GVYSN,não,Masculino,0,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,20.3,511.25,0.6766666666666666
0147-ESWWR,não,Feminino,1,Sim,Não,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,3949.15,3.375
0148-DCDOS,sim,Masculino,0,Não,Não,25,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência bancária (automática),94.7,2362.1,3.1566666666666667
0151-ONTOV,sim,Feminino,0,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,70.9,70.9,2.3633333333333337
0156-FVPTA,sim,Masculino,0,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,54.2,1152.7,1.8066666666666669
0164-APGRB,não,Feminino,0,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,114.9,8496.7,3.83
0164-XAIRP,não,Feminino,0,Não,Não,24,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Transferência bancária (automática),19.55,470.2,0.6516666666666667
0168-XZKBB,não,Feminino,0,Sim,Não,19,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,86.85,1564.4,2.895
0174-QRVVY,não,Masculino,0,Sim,Sim,71,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito (automático),25.35,1847.55,0.8450000000000001
0177-PXBAT,não,Masculino,1,Sim,Não,33,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência bancária (automática),109.9,3694.7,3.6633333333333336
0178-CIIKR,não,Feminino,0,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.95,58.0,0.6649999999999999
0178-SZBHO,não,Masculino,0,Sim,Sim,47,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,87.2,4017.45,2.9066666666666667
0181-RITDD,não,Masculino,0,Sim,Sim,62,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque enviado,108.15,6825.65,3.605
0186-CAERR,não,Masculino,0,Não,Não,71,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),116.3,8309.55,3.8766666666666665
0187-QSXOE,não,Masculino,1,Sim,Não,7,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.0,605.45,2.966666666666667
0187-WZNAB,não,Feminino,0,Sim,Sim,27,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,74.4,1972.35,2.48
0188-GWFLE,não,Masculino,0,Não,Não,2,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,20.05,33.7,0.6683333333333333
0191-EQUUH,não,Feminino,0,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bienal,Não,Transferência bancária (automática),35.05,844.45,1.1683333333333332
0191-ZHSKZ,não,Masculino,1,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,74.75,2111.3,2.4916666666666667
0193-ESZXP,sim,Feminino,1,Sim,Não,58,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Anual,Sim,Cartão de crédito (automático),105.5,6205.5,3.5166666666666666
0195-IESCP,sim,Masculino,0,Sim,Não,10,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.25,855.3,2.841666666666667
0196-JTUQI,não,Feminino,0,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),75.2,633.85,2.506666666666667
0196-VULGZ,sim,Feminino,1,Sim,Não,6,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,84.35,474.9,2.8116666666666665
0197-PNKNK,não,Feminino,0,Sim,Sim,69,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Anual,Não,Transferência bancária (automática),84.45,5848.6,2.815
0201-MIBOL,não,Feminino,1,Não,Não,66,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Bienal,Sim,Transferência bancária (automática),102.4,6471.85,3.4133333333333336
0201-OAMXR,sim,Feminino,0,Não,Não,70,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cartão de crédito (automático),115.55,8127.6,3.8516666666666666
0203-HHYIJ,sim,Masculino,0,Não,Não,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Transferência bancária (automática),25.3,676.35,0.8433333333333334
0206-OYVOC,não,Feminino,0,Sim,Sim,46,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Cheque enviado,19.25,864.2,0.6416666666666667
0206-TBWLC,não,Feminino,0,Sim,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque enviado,114.65,6049.5,3.8216666666666668
0207-MDKNV,sim,Feminino,0,Não,Não,15,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,105.1,1582.75,3.503333333333333
0208-BPQEJ,não,Feminino,0,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Transferência bancária (automática),19.4,198.1,0.6466666666666666
0212-ISBBF,não,Feminino,0,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.35,1098.85,1.6783333333333335
0214-JHPFW,não,Feminino,0,Sim,Não,70,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automática),57.8,4039.3,1.9266666666666665
0215-BQKGS,não,Masculino,0,Não,Não,30,Sim,Não,Fibra óptica,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),84.3,2438.6,2.81
0218-QNVAS,não,Masculino,0,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Anual,Não,Transferência bancária (automática),100.55,7113.75,3.3516666666666666
0219-QAERP,não,Masculino,0,Sim,Não,30,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cartão de crédito (automático),19.8,576.65,0.66
0219-YTZUE,sim,Masculino,0,Sim,Sim,4,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),84.8,371.9,2.8266666666666667
0220-EBGCE,sim,Masculino,0,Não,Não,2,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.85,167.3,2.8616666666666664
0221-NAUXK,não,Masculino,0,Não,Sim,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária (automática),19.95,219.5,0.6649999999999999
0221-WMXNQ,não,Masculino,1,Não,Não,4,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.35,273.4,2.5116666666666663
